1,Notebook 9,produto,353.03,6
2,Manutenção de notebook,servico,355.82,50
3,Notebook 95,produto,383.63,48
4,Manutenção de notebook,servico,351.02,41
5,Manutenção de notebook,servico,233.6,5
6,Capa 9,produto,353.97,17
7,Troca de tela,servico,146.32,6
8,Manutenção de celular,servico,263.73,20
9,Manutenção de celular,servico,321.11,7
10,Mouse 81,produto,271.51,4
11,HD 96,produto,54.54,28
12,Manutenção de celular,servico,391.33,21
13,Instalação de software,servico,343.08,3
14,Mouse 83,produto,423.52,24
15,SSD 14,produto,415.22,5
16,Manutenção de notebook,servico,499.52,38
17,Manutenção de notebook,servico,30.62,28
18,Carregador 93,produto,286.56,7
19,HD 66,produto,299.37,14
20,SSD 76,produto,338.32,16
21,HD 23,produto,286.08,15
22,HD 58,produto,171.5,2
23,Fone 73,produto,379.08,15
24,Manutenção de notebook,servico,339.71,3
25,Teclado 69,produto,85.88,8
26,Instalação de software,servico,102.83,2
27,Teclado 51,produto,333.25,48
28,Capa 22,produto,407.13,47
29,Fone 7,produto,127.78,8
30,Celular 28,produto,64.6,32
31,Limpeza interna,servico,398.57,35
32,Instalação de software,servico,147.29,38
33,HD 74,produto,302.27,33
34,Troca de tela,servico,453.79,29
35,Manutenção de notebook,servico,289.56,34
36,Celular 12,produto,494.69,45
37,Carregador 7,produto,67.53,10
38,Instalação de software,servico,49.09,22
39,HD 47,produto,488.12,10
40,Instalação de software,servico,357.26,47
41,Manutenção de celular,servico,426.88,19
42,Monitor 32,produto,227.4,35
43,Limpeza interna,servico,128.92,48
44,Manutenção de notebook,servico,54.28,46
45,Teclado 97,produto,480.76,46
46,Instalação de software,servico,94.5,7
47,Limpeza interna,servico,373.76,16
48,Instalação de software,servico,348.2,30
49,Instalação de software,servico,438.45,34
50,Carregador 23,produto,219.81,39
51,Carregador 19,produto,256.3,12
52,Mouse 43,produto,456.88,10
53,Troca de tela,servico,143.48,25
54,Troca de tela,servico,408.57,14
55,Fone 28,produto,267.81,30
56,Manutenção de notebook,servico,27.5,46
57,Instalação de software,servico,362.37,10
58,Carregador 98,produto,337.52,39
59,Mouse 33,produto,213.27,39
60,Troca de tela,servico,321.74,11
61,Capa 79,produto,386.41,43
62,SSD 71,produto,223.83,21
63,HD 60,produto,421.3,18
64,Notebook 67,produto,486.09,21
65,Limpeza interna,servico,246.2,13
66,Troca de tela,servico,279.15,38
67,Mouse 71,produto,415.11,46
68,Manutenção de celular,servico,225.16,28
69,Limpeza interna,servico,418.82,14
70,Manutenção de notebook,servico,462.11,1
71,Carregador 33,produto,136.45,11
72,Manutenção de celular,servico,196.63,42
73,Fone 87,produto,54.65,19
74,Capa 66,produto,470.74,5
75,Celular 25,produto,422.75,39
76,Troca de tela,servico,331.82,46
77,Limpeza interna,servico,181.82,30
78,Carregador 37,produto,498.72,18
79,Notebook 87,produto,329.39,50
80,HD 7,produto,292.7,22
81,Carregador 69,produto,177.92,34
82,Mouse 71,produto,118.47,21
83,Instalação de software,servico,174.44,29
84,Manutenção de celular,servico,143.52,19
85,Troca de tela,servico,241.42,4
86,Instalação de software,servico,187.82,42
87,Notebook 46,produto,291.58,4
88,Instalação de software,servico,302.94,12
89,Manutenção de notebook,servico,198.39,23
90,Manutenção de celular,servico,77.37,7
91,Fone 36,produto,333.64,9
92,Fone 85,produto,399.95,23
93,HD 30,produto,415.49,46
94,Notebook 35,produto,46.37,33
95,Notebook 34,produto,161.96,26
96,Manutenção de notebook,servico,419.14,8
97,Manutenção de notebook,servico,216.32,48
98,Manutenção de notebook,servico,251.12,22
99,Capa 89,produto,356.13,19
100,Troca de tela,servico,70.32,26
101,Mouse 29,produto,441.37,2
102,Manutenção de notebook,servico,189.16,37
103,HD 13,produto,345.41,46
104,Instalação de software,servico,183.35,22
105,Manutenção de notebook,servico,203.14,9
106,Manutenção de notebook,servico,424.43,46
107,HD 24,produto,443.27,15
108,Limpeza interna,servico,263.81,38
